PRODUCTID;ORDER_NUMBER;ORDER_QUANTITY;UNIT_PRICE;DELIVERY_COST;TAX_RATE
3;SO46818   ;8;EUR 99,99;EUR 74,56;0.23000
3;SO47234   ;1;EUR 99,99;EUR 71,78;0.23000
5;SO48143   ;2;EUR 200;EUR 97,59;0.23000
2;SO49028   ;9;EUR 850;EUR 44,65;0.23000
5;SO49564   ;1;EUR 200;EUR 38,83;0.23000
2;SO50653   ;5;EUR 850;EUR 84,31;0.23000
4;SO51056   ;8;EUR 1159,9;EUR 94,85;0.23000
5;SO51246   ;6;EUR 200;EUR 41,72;0.23000
4;SO45009   ;9;EUR 1159,9;EUR 67,32;0.23000
4;SO45247   ;6;EUR 1159,9;EUR 43,68;0.23000
3;SO45407   ;5;EUR 99,99;EUR 39,02;0.23000
3;SO45969   ;1;EUR 99,99;EUR 97,96;0.23000
3;SO47948   ;5;EUR 99,99;EUR 99,36;0.23000
5;SO48240   ;4;EUR 200;EUR 61,14;0.23000
4;SO48653   ;5;EUR 1159,9;EUR 74,56;0.23000
4;SO49808   ;8;EUR 1159,9;EUR 45,45;0.23000
3;SO49997   ;4;EUR 99,99;EUR 72,97;0.23000
1;SO50028   ;6;EUR 799;EUR 61,11;0.23000
5;SO50064   ;9;EUR 200;EUR 55,04;0.23000
4;SO50183   ;3;EUR 1159,9;EUR 69,35;0.23000
5;SO51062   ;5;EUR 200;EUR 93,7;0.23000
3;SO44589   ;3;EUR 99,99;EUR 55,98;0.23000
5;SO44835   ;10;EUR 200;EUR 47,2;0.23000
5;SO45942   ;5;EUR 200;EUR 40,32;0.23000
4;SO46772   ;5;EUR 1159,9;EUR 98,29;0.23000
4;SO47104   ;2;EUR 1159,9;EUR 71,83;0.23000
2;SO47487   ;4;EUR 850;EUR 84,92;0.23000
3;SO47938   ;6;EUR 99,99;EUR 92,63;0.23000
1;SO48695   ;7;EUR 799;EUR 95,81;0.23000
4;SO48918   ;4;EUR 1159,9;EUR 41,68;0.23000
2;SO50346   ;10;EUR 850;EUR 39,34;0.23000
5;SO51208   ;2;EUR 200;EUR 40,59;0.23000
5;SO44444   ;5;EUR 200;EUR 57,98;0.23000
2;SO45986   ;9;EUR 850;EUR 74,91;0.23000
2;SO46477   ;6;EUR 850;EUR 77,92;0.23000
3;SO46745   ;5;EUR 99,99;EUR 76,94;0.23000
4;SO47599   ;6;EUR 1159,9;EUR 41,74;0.23000
3;SO47882   ;10;EUR 99,99;EUR 75,29;0.23000
3;SO47945   ;7;EUR 99,99;EUR 39,27;0.23000
1;SO50339   ;8;EUR 799;EUR 42,56;0.23000
2;SO51246   ;7;EUR 850;EUR 40,46;0.46000
2;SO43700   ;3;EUR 850;EUR 50,9;0.23000
5;SO44612   ;2;EUR 200;EUR 78,59;0.23000
4;SO46229   ;10;EUR 1159,9;EUR 43,4;0.23000
3;SO46275   ;9;EUR 99,99;EUR 48,35;0.23000
1;SO46289   ;7;EUR 799;EUR 48,93;0.23000
1;SO47070   ;5;EUR 799;EUR 73,61;0.23000
1;SO47582   ;5;EUR 799;EUR 81,45;0.23000
5;SO47905   ;10;EUR 200;EUR 67,12;0.23000
1;SO47926   ;2;EUR 799;EUR 38,55;0.23000
5;SO48474   ;5;EUR 200;EUR 55,66;0.23000
4;SO49349   ;9;EUR 1159,9;EUR 59,67;0.23000
4;SO50053   ;3;EUR 1159,9;EUR 53,7;0.23000
5;SO50336   ;4;EUR 200;EUR 47,44;0.23000
3;SO50992   ;9;EUR 99,99;EUR 94,33;0.23000
4;SO46701   ;3;EUR 1159,9;EUR 84,22;0.23000
4;SO46759   ;9;EUR 1159,9;EUR 72,97;0.23000
4;SO46880   ;5;EUR 1159,9;EUR 90,93;0.23000
1;SO47782   ;4;EUR 799;EUR 99,07;0.23000
4;SO48546   ;5;EUR 1159,9;EUR 81,62;0.23000
3;SO49705   ;4;EUR 99,99;EUR 45,87;0.23000
4;SO51181   ;1;EUR 1159,9;EUR 50,27;0.23000
3;SO44466   ;1;EUR 99,99;EUR 76,78;0.23000
4;SO45022   ;9;EUR 1159,9;EUR 44,78;0.23000
4;SO47841   ;10;EUR 1159,9;EUR 31,09;0.23000
2;SO48122   ;10;EUR 850;EUR 52,2;0.23000
2;SO48690   ;1;EUR 850;EUR 35,78;0.23000
5;SO48721   ;2;EUR 200;EUR 76,4;0.23000
5;SO48936   ;2;EUR 200;EUR 49,23;0.23000
2;SO49319   ;2;EUR 850;EUR 73,1;0.23000
1;SO49330   ;6;EUR 799;EUR 93,94;0.23000
4;SO50180   ;2;EUR 1159,9;EUR 39,82;0.23000
2;SO45012   ;4;EUR 850;EUR 63,21;0.23000
1;SO45151   ;5;EUR 799;EUR 58,41;0.23000
3;SO45515   ;7;EUR 99,99;EUR 63,37;0.23000
1;SO45644   ;7;EUR 799;EUR 41,09;0.23000
4;SO47079   ;3;EUR 1159,9;EUR 62,27;0.23000
1;SO47208   ;4;EUR 799;EUR 30,71;0.23000
4;SO48439   ;8;EUR 1159,9;EUR 100,69;0.23000
2;SO48842   ;1;EUR 850;EUR 48,35;0.23000
2;SO49991   ;7;EUR 850;EUR 55,99;0.23000
2;SO50597   ;5;EUR 850;EUR 82,02;0.23000
3;SO50892   ;7;EUR 99,99;EUR 98,23;0.23000
5;SO44616   ;7;EUR 200;EUR 57,46;0.23000
5;SO45670   ;10;EUR 200;EUR 86,61;0.23000
3;SO45093   ;9;EUR 99,99;EUR 59,35;0.23000
5;SO46255   ;10;EUR 200;EUR 32,25;0.23000
2;SO46413   ;5;EUR 850;EUR 48,63;0.23000
2;SO46484   ;4;EUR 850;EUR 79,07;0.23000
4;SO46851   ;7;EUR 1159,9;EUR 77,43;0.23000
5;SO48128   ;9;EUR 200;EUR 30,5;0.23000
3;SO48166   ;3;EUR 99,99;EUR 45,63;0.23000
4;SO48848   ;9;EUR 1159,9;EUR 67,53;0.23000
2;SO48958   ;9;EUR 850;EUR 67,86;0.23000
1;SO50966   ;6;EUR 799;EUR 60,31;0.23000
4;SO44836   ;5;EUR 1159,9;EUR 88,4;0.23000
4;SO46315   ;3;EUR 1159,9;EUR 82,93;0.23000
1;SO46679   ;10;EUR 799;EUR 33,82;0.23000
5;SO47179   ;8;EUR 200;EUR 63,98;0.23000
1;SO47310   ;7;EUR 799;EUR 32,4;0.23000
2;SO48208   ;6;EUR 850;EUR 80,39;0.23000
3;SO49012   ;4;EUR 99,99;EUR 91,84;0.23000
3;SO49257   ;9;EUR 99,99;EUR 60,62;0.23000
1;SO49322   ;9;EUR 799;EUR 87,75;0.23000
3;SO50029   ;5;EUR 99,99;EUR 59,54;0.23000
3;SO50086   ;1;EUR 99,99;EUR 46,86;0.23000
2;SO50515   ;7;EUR 850;EUR 87,44;0.23000
1;SO50533   ;9;EUR 799;EUR 87,6;0.23000
5;SO44441   ;5;EUR 200;EUR 85,87;0.23000
5;SO45124   ;3;EUR 200;EUR 41,66;0.23000
4;SO45724   ;8;EUR 1159,9;EUR 89,92;0.23000
3;SO45903   ;4;EUR 99,99;EUR 73,76;0.23000
1;SO45911   ;9;EUR 799;EUR 62,76;0.23000
5;SO47640   ;2;EUR 200;EUR 37,42;0.23000
2;SO48409   ;1;EUR 850;EUR 44,92;0.23000
1;SO49568   ;9;EUR 799;EUR 46,11;0.23000
5;SO49730   ;8;EUR 200;EUR 57,09;0.23000
3;SO49990   ;9;EUR 99,99;EUR 85,08;0.23000
3;SO50493   ;7;EUR 99,99;EUR 64,76;0.23000
5;SO50639   ;10;EUR 200;EUR 74,79;0.23000
3;SO51027   ;6;EUR 99,99;EUR 87,29;0.23000
3;SO44438   ;4;EUR 99,99;EUR 67,02;0.23000
4;SO44587   ;4;EUR 1159,9;EUR 62,15;0.23000
2;SO44649   ;5;EUR 850;EUR 81,91;0.23000
1;SO44928   ;1;EUR 799;EUR 61,47;0.23000
3;SO45356   ;10;EUR 99,99;EUR 76,18;0.23000
3;SO45419   ;7;EUR 99,99;EUR 65,59;0.23000
1;SO45492   ;1;EUR 799;EUR 85,21;0.23000
1;SO46318   ;8;EUR 799;EUR 82,26;0.23000
5;SO46838   ;10;EUR 200;EUR 42,21;0.23000
5;SO47138   ;2;EUR 200;EUR 36,08;0.23000
1;SO47912   ;2;EUR 799;EUR 34,6;0.23000
3;SO48428   ;6;EUR 99,99;EUR 96,2;0.23000
4;SO48949   ;1;EUR 1159,9;EUR 60,47;0.23000
1;SO48988   ;7;EUR 799;EUR 80,96;0.23000
3;SO49669   ;3;EUR 99,99;EUR 39,1;0.23000
5;SO49750   ;7;EUR 200;EUR 85,36;0.23000
2;SO49897   ;3;EUR 850;EUR 70,08;0.23000
2;SO50159   ;3;EUR 850;EUR 36,36;0.23000
3;SO44467   ;3;EUR 99,99;EUR 63,47;0.23000
3;SO44820   ;5;EUR 99,99;EUR 72,89;0.23000
1;SO44856   ;8;EUR 799;EUR 50,33;0.23000
2;SO45436   ;3;EUR 850;EUR 85,91;0.23000
2;SO45686   ;6;EUR 850;EUR 53,29;0.23000
4;SO46146   ;8;EUR 1159,9;EUR 101;0.23000
5;SO47167   ;8;EUR 200;EUR 88,12;0.23000
5;SO48953   ;6;EUR 200;EUR 78,33;0.23000
4;SO49205   ;6;EUR 1159,9;EUR 68,48;0.23000
1;SO49310   ;10;EUR 799;EUR 36,95;0.23000
2;SO50022   ;4;EUR 850;EUR 82,71;0.23000
1;SO50078   ;7;EUR 799;EUR 41,51;0.23000
4;SO51213   ;4;EUR 1159,9;EUR 93,61;0.23000
3;SO45479   ;7;EUR 99,99;EUR 64,75;0.23000
3;SO46554   ;2;EUR 99,99;EUR 99,95;0.23000
2;SO46563   ;9;EUR 850;EUR 35,05;0.23000
5;SO47172   ;5;EUR 200;EUR 73,97;0.23000
3;SO47804   ;7;EUR 99,99;EUR 53,67;0.23000
5;SO47847   ;3;EUR 200;EUR 39,92;0.23000
3;SO48190   ;6;EUR 99,99;EUR 36,14;0.23000
3;SO48249   ;1;EUR 99,99;EUR 49,93;0.23000
3;SO48652   ;8;EUR 99,99;EUR 98,39;0.23000
2;SO49022   ;9;EUR 850;EUR 76,05;0.23000
2;SO44603   ;2;EUR 850;EUR 46,86;0.23000
2;SO46537   ;5;EUR 850;EUR 85,32;0.23000
3;SO47461   ;8;EUR 99,99;EUR 44,57;0.23000
3;SO47766   ;7;EUR 99,99;EUR 76,82;0.23000
4;SO48456   ;7;EUR 1159,9;EUR 31,08;0.23000
5;SO50037   ;5;EUR 200;EUR 61,85;0.23000
2;SO50326   ;3;EUR 850;EUR 60,13;0.23000
5;SO50553   ;1;EUR 200;EUR 45,5;0.23000
2;SO50641   ;8;EUR 850;EUR 42,94;0.23000
4;SO50997   ;4;EUR 1159,9;EUR 89,48;0.23000
5;SO44686   ;9;EUR 200;EUR 72,6;0.23000
2;SO44712   ;6;EUR 850;EUR 41,74;0.23000
4;SO44715   ;7;EUR 1159,9;EUR 92,58;0.23000
5;SO45461   ;7;EUR 200;EUR 60,6;0.23000
2;SO45631   ;8;EUR 850;EUR 39,44;0.23000
5;SO46175   ;1;EUR 200;EUR 54,7;0.23000
1;SO46246   ;8;EUR 799;EUR 92,2;0.23000
3;SO46564   ;2;EUR 99,99;EUR 100,93;0.23000
2;SO46681   ;3;EUR 850;EUR 47,76;0.23000
3;SO47100   ;10;EUR 99,99;EUR 69,29;0.23000
3;SO47288   ;6;EUR 99,99;EUR 100,22;0.23000
3;SO47843   ;8;EUR 99,99;EUR 40,59;0.23000
3;SO48226   ;9;EUR 99,99;EUR 33,46;0.23000
4;SO48909   ;4;EUR 1159,9;EUR 81,96;0.23000
1;SO50544   ;5;EUR 799;EUR 96,42;0.23000
2;SO44875   ;2;EUR 850;EUR 61,99;0.23000
1;SO45984   ;10;EUR 799;EUR 96,84;0.23000
2;SO47821   ;5;EUR 850;EUR 79,31;0.23000
4;SO48207   ;8;EUR 1159,9;EUR 88,81;0.23000
4;SO48711   ;10;EUR 1159,9;EUR 100,56;0.23000
4;SO49194   ;1;EUR 1159,9;EUR 50;0.23000
1;SO49572   ;6;EUR 799;EUR 71,97;0.23000
2;SO49678   ;7;EUR 850;EUR 56,53;0.23000
5;SO49910   ;4;EUR 200;EUR 73,45;0.23000
5;SO50419   ;1;EUR 200;EUR 54,59;0.23000
5;SO49353   ;3;EUR 200;EUR 84,03;0.23000
5;SO49704   ;3;EUR 200;EUR 45,8;0.23000
5;SO49720   ;6;EUR 200;EUR 37,03;0.23000
3;SO49816   ;7;EUR 99,99;EUR 58,5;0.23000
1;SO44983   ;6;EUR 799;EUR 54,83;0.23000
5;SO44992   ;1;EUR 200;EUR 62,6;0.23000
3;SO45845   ;6;EUR 99,99;EUR 97,7;0.23000
4;SO47514   ;7;EUR 1159,9;EUR 55,98;0.23000
5;SO48805   ;10;EUR 200;EUR 32,13;0.23000
1;SO49438   ;9;EUR 799;EUR 94,31;0.23000
2;SO50138   ;10;EUR 850;EUR 86,49;0.23000
5;SO45384   ;2;EUR 200;EUR 90,08;0.23000
2;SO45906   ;8;EUR 850;EUR 63,18;0.23000
3;SO46319   ;3;EUR 99,99;EUR 34,62;0.23000
1;SO46520   ;5;EUR 799;EUR 82,04;0.23000
5;SO48204   ;4;EUR 200;EUR 40,82;0.23000
4;SO48928   ;6;EUR 1159,9;EUR 60,22;0.23000
1;SO48987   ;3;EUR 799;EUR 63,03;0.23000
3;SO49399   ;5;EUR 99,99;EUR 48,21;0.23000
5;SO50392   ;9;EUR 200;EUR 32,6;0.23000
4;SO50628   ;6;EUR 1159,9;EUR 30,46;0.23000
3;SO50634   ;6;EUR 99,99;EUR 73,07;0.23000
5;SO51043   ;2;EUR 200;EUR 54,53;0.23000
2;SO44884   ;9;EUR 850;EUR 79,19;0.23000
4;SO44989   ;4;EUR 1159,9;EUR 54,27;0.23000
2;SO45080   ;3;EUR 850;EUR 54,82;0.23000
4;SO45201   ;6;EUR 1159,9;EUR 100,69;0.23000
4;SO45685   ;7;EUR 1159,9;EUR 52,55;0.23000
3;SO45893   ;7;EUR 99,99;EUR 36,42;0.23000
1;SO46156   ;9;EUR 799;EUR 65,14;0.23000
3;SO47173   ;10;EUR 99,99;EUR 51,09;0.23000
4;SO47187   ;5;EUR 1159,9;EUR 64,43;0.23000
3;SO47231   ;10;EUR 99,99;EUR 70,13;0.23000
1;SO47870   ;5;EUR 799;EUR 64,04;0.23000
2;SO48112   ;9;EUR 850;EUR 57,39;0.23000
3;SO48272   ;9;EUR 99,99;EUR 68,26;0.23000
4;SO48855   ;8;EUR 1159,9;EUR 95,19;0.23000
2;SO49732   ;5;EUR 850;EUR 38,24;0.23000
1;SO49810   ;4;EUR 799;EUR 79,05;0.23000
1;SO45387   ;5;EUR 799;EUR 56,29;0.23000
2;SO45454   ;8;EUR 850;EUR 35,66;0.23000
1;SO45932   ;3;EUR 799;EUR 76,56;0.23000
5;SO47112   ;10;EUR 200;EUR 50,36;0.23000
1;SO49029   ;8;EUR 799;EUR 64,16;0.23000
5;SO49315   ;9;EUR 200;EUR 66,46;0.23000
5;SO49574   ;7;EUR 200;EUR 55,57;0.23000
3;SO49819   ;6;EUR 99,99;EUR 94,17;0.23000
5;SO50557   ;7;EUR 200;EUR 92,3;0.23000
1;SO50566   ;10;EUR 799;EUR 71,46;0.23000
1;SO44962   ;6;EUR 799;EUR 71,32;0.23000
2;SO44981   ;8;EUR 850;EUR 45,26;0.23000
3;SO45422   ;10;EUR 99,99;EUR 48,41;0.23000
4;SO46162   ;2;EUR 1159,9;EUR 62,46;0.23000
5;SO46805   ;4;EUR 200;EUR 62,45;0.23000
5;SO48210   ;7;EUR 200;EUR 48,56;0.23000
5;SO48402   ;6;EUR 200;EUR 53,87;0.23000
3;SO48601   ;3;EUR 99,99;EUR 77,27;0.23000
3;SO48890   ;8;EUR 99,99;EUR 52,02;0.23000
3;SO51008   ;5;EUR 99,99;EUR 96,79;0.23000
2;SO44424   ;3;EUR 850;EUR 81,57;0.23000
5;SO47281   ;7;EUR 200;EUR 94;0.23000
2;SO47566   ;4;EUR 850;EUR 59,46;0.23000
5;SO49263   ;10;EUR 200;EUR 85,49;0.23000
3;SO50070   ;10;EUR 99,99;EUR 96,34;0.23000
4;SO50184   ;8;EUR 1159,9;EUR 44,1;0.23000
3;SO50939   ;7;EUR 99,99;EUR 77,85;0.23000
1;SO51028   ;3;EUR 799;EUR 36,71;0.23000
4;SO44582   ;5;EUR 1159,9;EUR 78,7;0.23000
3;SO44597   ;1;EUR 99,99;EUR 77,34;0.23000
5;SO45666   ;8;EUR 200;EUR 63,95;0.23000
4;SO45951   ;3;EUR 1159,9;EUR 100,67;0.23000
4;SO46270   ;3;EUR 1159,9;EUR 56,72;0.23000
4;SO47068   ;5;EUR 1159,9;EUR 62,38;0.23000
1;SO47333   ;2;EUR 799;EUR 66,36;0.23000
5;SO47479   ;4;EUR 200;EUR 57,33;0.23000
5;SO47637   ;2;EUR 200;EUR 54,15;0.23000
5;SO49557   ;5;EUR 200;EUR 66,62;0.23000
5;SO49964   ;1;EUR 200;EUR 41,19;0.23000
2;SO49968   ;10;EUR 850;EUR 95,05;0.23000
5;SO50123   ;3;EUR 200;EUR 55,21;0.23000
3;SO50590   ;3;EUR 99,99;EUR 38,07;0.23000
2;SO50937   ;3;EUR 850;EUR 71,17;0.23000
2;SO44910   ;2;EUR 850;EUR 35,84;0.23000
4;SO45264   ;6;EUR 1159,9;EUR 56,35;0.23000
2;SO45823   ;4;EUR 850;EUR 61,5;0.23000
1;SO46253   ;1;EUR 799;EUR 44,04;0.23000
5;SO47629   ;5;EUR 200;EUR 51,23;0.23000
1;SO47646   ;4;EUR 799;EUR 32,42;0.23000
5;SO48445   ;9;EUR 200;EUR 49,37;0.23000
3;SO49594   ;6;EUR 99,99;EUR 62,78;0.23000
2;SO49609   ;5;EUR 850;EUR 81,17;0.23000
3;SO49729   ;9;EUR 99,99;EUR 71,12;0.23000
5;SO49807   ;3;EUR 200;EUR 75,59;0.23000
3;SO50057   ;2;EUR 99,99;EUR 32,61;0.23000
2;SO50837   ;6;EUR 850;EUR 31,72;0.23000
5;SO50964   ;6;EUR 200;EUR 55,1;0.23000
4;SO44448   ;1;EUR 1159,9;EUR 50,91;0.23000
3;SO45112   ;8;EUR 99,99;EUR 49,35;0.23000
1;SO45632   ;2;EUR 799;EUR 83,47;0.23000
1;SO45684   ;1;EUR 799;EUR 92,68;0.23000
3;SO46314   ;3;EUR 99,99;EUR 32,01;0.23000
2;SO46807   ;7;EUR 850;EUR 70,59;0.23000
2;SO46850   ;6;EUR 850;EUR 38,13;0.23000
2;SO46911   ;6;EUR 850;EUR 63,56;0.23000
3;SO46925   ;8;EUR 99,99;EUR 70,4;0.23000
3;SO47530   ;5;EUR 99,99;EUR 80,4;0.23000
1;SO47536   ;9;EUR 799;EUR 52,33;0.23000
1;SO47828   ;7;EUR 799;EUR 89,85;0.23000
5;SO48691   ;3;EUR 200;EUR 76,3;0.23000
4;SO48954   ;7;EUR 1159,9;EUR 55,89;0.23000
2;SO48959   ;8;EUR 850;EUR 39,79;0.23000
1;SO49679   ;4;EUR 799;EUR 78,99;0.23000
3;SO49723   ;3;EUR 99,99;EUR 62,38;0.23000
2;SO43713   ;9;EUR 850;EUR 64,58;0.23000
5;SO43737   ;4;EUR 200;EUR 57,67;0.23000
3;SO43758   ;3;EUR 99,99;EUR 96,52;0.23000
1;SO43809   ;7;EUR 799;EUR 99,11;0.23000
1;SO44906   ;1;EUR 799;EUR 37,37;0.23000
1;SO45466   ;10;EUR 799;EUR 94,78;0.23000
1;SO45964   ;6;EUR 799;EUR 65,22;0.23000
5;SO46418   ;2;EUR 200;EUR 55,1;0.23000
4;SO46505   ;3;EUR 1159,9;EUR 80,87;0.23000
2;SO47222   ;10;EUR 850;EUR 76,38;0.23000
2;SO47223   ;5;EUR 850;EUR 78,14;0.23000
1;SO47256   ;1;EUR 799;EUR 48,09;0.23000
3;SO47317   ;1;EUR 99,99;EUR 99,87;0.23000
3;SO47872   ;9;EUR 99,99;EUR 81,89;0.23000
4;SO48980   ;7;EUR 1159,9;EUR 44,75;0.23000
4;SO50109   ;10;EUR 1159,9;EUR 81,05;0.23000
2;SO43742   ;7;EUR 850;EUR 79,48;0.23000
4;SO43759   ;7;EUR 1159,9;EUR 68,16;0.23000
5;SO43778   ;5;EUR 200;EUR 75,2;0.23000
4;SO43794   ;5;EUR 1159,9;EUR 85,66;0.23000
3;SO44874   ;2;EUR 99,99;EUR 91,6;0.23000
5;SO45928   ;1;EUR 200;EUR 53,42;0.23000
5;SO46003   ;9;EUR 200;EUR 87,78;0.23000
4;SO46234   ;6;EUR 1159,9;EUR 57,87;0.23000
1;SO46577   ;6;EUR 799;EUR 81,65;0.23000
5;SO47537   ;9;EUR 200;EUR 72,76;0.23000
5;SO48109   ;9;EUR 200;EUR 41,08;0.23000
1;SO48165   ;2;EUR 799;EUR 41,65;0.23000
2;SO48809   ;3;EUR 850;EUR 41,82;0.23000
5;SO48865   ;5;EUR 200;EUR 31,64;0.23000
5;SO49342   ;4;EUR 200;EUR 31,89;0.23000
3;SO49563   ;4;EUR 99,99;EUR 54,74;0.23000
1;SO49809   ;9;EUR 799;EUR 90,13;0.23000
2;SO50111   ;9;EUR 850;EUR 54,45;0.23000
5;SO50382   ;1;EUR 200;EUR 85,17;0.23000
1;SO50631   ;8;EUR 799;EUR 77,89;0.23000
2;SO51059   ;10;EUR 850;EUR 42,46;0.23000
5;SO43749   ;1;EUR 200;EUR 53,8;0.23000
2;SO44607   ;8;EUR 850;EUR 71,02;0.23000
4;SO45239   ;7;EUR 1159,9;EUR 41,79;0.23000
2;SO45253   ;2;EUR 850;EUR 84,4;0.23000
2;SO45430   ;2;EUR 850;EUR 76,72;0.23000
4;SO45457   ;5;EUR 1159,9;EUR 75,16;0.23000
4;SO45722   ;2;EUR 1159,9;EUR 32,81;0.23000
3;SO45890   ;7;EUR 99,99;EUR 43,84;0.23000
2;SO46428   ;6;EUR 850;EUR 75,63;0.23000
1;SO47652   ;2;EUR 799;EUR 72,86;0.23000
3;SO47754   ;7;EUR 99,99;EUR 51,21;0.23000
3;SO47806   ;6;EUR 99,99;EUR 50,47;0.23000
4;SO50352   ;3;EUR 1159,9;EUR 87,84;0.23000
3;SO50657   ;8;EUR 99,99;EUR 60,19;0.23000
2;SO43719   ;8;EUR 850;EUR 63,58;0.23000
2;SO43748   ;2;EUR 850;EUR 93,82;0.23000
3;SO43764   ;10;EUR 99,99;EUR 56,44;0.23000
2;SO43790   ;8;EUR 850;EUR 33,4;0.23000
2;SO43798   ;1;EUR 850;EUR 38,07;0.23000
3;SO44668   ;4;EUR 99,99;EUR 98,13;0.23000
2;SO46449   ;4;EUR 850;EUR 97,71;0.23000
4;SO47101   ;1;EUR 1159,9;EUR 70,48;0.23000
4;SO47755   ;3;EUR 1159,9;EUR 98,89;0.23000
5;SO48525   ;3;EUR 200;EUR 80,04;0.23000
2;SO48830   ;2;EUR 850;EUR 77,59;0.23000
5;SO49662   ;9;EUR 200;EUR 67,61;0.23000
5;SO49694   ;5;EUR 200;EUR 81,43;0.23000
